Gender;Age;Academic Program;Antwort 1;Antwort 2;Antwort 3
female;23;Data Science / MSc / TU Wien;120;4;YouTube video
male;21;Data Science / MSc / TU Wien;180;5 (I think I should send way less time);YouTube video
female;23;Data Science / MSc / TU Wien;90;5 (I think I should send way less time);YouTube shorts – Tiktoks – Intsagram reels
female;24;Data Science / MSc / TU Wien;140;4;TV shows (series)
male;22;Data Science / MSc / TU Wien;100;4;YouTube video
male;25;Data Science;50;4;YouTube video
male;26;Data Science / MSc / TU Wien;5;4;YouTube video
male;43;Data Science / MSc / TU Wien;3;4;TV shows (series)
male;23;Business Informatics / BSc/ TU Wien;120;5 (I think I should send way less time);YouTube shorts – Tiktoks – Intsagram reels
female;26;MSc Data Science;120;3;YouTube video
female;22;Data Science / MSc / TU WIen;2;4;YouTube shorts – Tiktoks – Intsagram reels
male;28;Data Science Msc;4;4;YouTube video
male;30;Data Science / MSc / TU Wien;90;4;YouTube video
male;26;Data Science / MSc / TU Wien;4;4;YouTube video
female;30;Data Science;3;2;TV shows (series)
female;23;Data Science / MSc / TU Wien;30;2;YouTube shorts – Tiktoks – Intsagram reels
male;23;Statistik und Wirtschaftsmathematik BSc TU Wien;360;5 (I think I should send way less time);None of them
male;25;Data Science;60;4;YouTube video
male;27;Data Science;2;4;YouTube video
male;25;Data Science;90;1 (not at all);YouTube video
female;33;Data Science;200;1 (not at all);YouTube video
male;24;Data Science;8;1 (not at all);YouTube video
female;32;Data Science MSc.;2;3;TV shows (series)
female;22;Data Science / MSc / TU Wien;20;1 (not at all);Movies
female;30;MSc;60;4;TV shows (series)
male;46;Data Science;20;1 (not at all);YouTube video
female;25;Data Science / MSc / TU Wien;120;4;YouTube shorts – Tiktoks – Intsagram reels
female;22;Erasmus student, Statistic;20;1 (not at all);YouTube shorts – Tiktoks – Intsagram reels
male;23;Data Science / MSc / TU Wien;120;5 (I think I should send way less time);YouTube video
female;22;Data Science / MSc / TU Wien;60;4;YouTube shorts – Tiktoks – Intsagram reels
male;31;Data Science / MSc / TU Wien;240;4;YouTube shorts – Tiktoks – Intsagram reels
female;26;Data Science / MSc / TU Wien;100;4;TV shows (series)
male;23;Data Science / MSc / TU Wien;140;5 (I think I should send way less time);YouTube video
female;23;Data Science / MSc / University of Zagreb;150;4;TV shows (series)
male;22;Data Science / MSc / TU Wien;168;3;YouTube shorts – Tiktoks – Intsagram reels
male;23;Business Informatics / BSc / TU Wien;2;2;YouTube video
male;23;Data Science / MSc / TU Wien;90;4;YouTube video
male;22;Data Science;3;2;YouTube video
